favorites,retweets,tweet_id
32016,7852,867051520902168576
19937,4804,866720684873056260
19190,3475,866686824827068416
121497,35277,866450705531457537
52260,14434,866334964761202691
0,8374,866094527597207552
25511,5622,865718153858494464
26360,5006,865359393868664832
27889,7698,865006731092295680
32173,8728,864873206498414592
14583,3039,864279568663928832
30067,8961,864197398364647424
20553,4160,863907417377173506
15271,4202,863553081350529029
0,2460,863471782782697472
23781,5277,863432100342583297
2260,97,863427515083354112
8756,1113,863079547188785154
8514,2460,863062471531167744
19159,5132,862831371563274240
17053,3550,862722525377298433
20529,4994,862457590147678208
74548,23475,862096992088072192
36144,10801,861383897657036800
17213,4193,861288531465048066
16737,3833,861005113778896900
0,2180,860981674716409858
0,828,860924035999428608
7529,2180,860563773140209665
23683,5343,860524505164394496
18348,3513,860276583193509888
16731,5921,860184849394610176
0,31251,860177593139703809
19615,4136,859924526012018688
15463,3555,859851578198683649
18675,1598,859607811541651456
90367,30616,859196978902773760
34045,13822,859074603037188101
0,8276,858860390427611136
15623,3534,858843525470990336
21645,4925,858471635011153920
15829,2955,858107933456039936
16251,2631,857989990357356544
34525,10836,857746408056729600
5958,1676,857393404942143489
20183,4598,857263160327368704
229,18,857214891891077121
0,176,857062103051644929
19109,4091,857029823797047296
0,10924,856602993587888130
16414,2946,856543823941562368
11968,1929,856526610513747968
0,696,856330835276025856
524,17,856288084350160898
28037,6475,856282028240666624
348,27,855862651834028034
5092,1052,855860136149123072
11990,2164,855857698524602368
46032,18187,855851453814013952
26964,5580,855818117272018944
30323,8430,855459453768019968
0,6147,855245323840757760
0,47,855138241867124737
23179,6287,854732716440526848
29781,7077,854482394044301312
19200,4841,854365224396361728
32520,7722,854120357044912130
16486,3256,854010172552949760
29120,5985,853760880890318849
35501,10496,853639147608842240
15839,3699,853299958564483072
0,2080,852936405516943360
9256,1904,852912242202992640
15237,2243,852672615818899456
16716,3651,852553447878664193
33862,10264,852311364735569921
20468,7071,852226086759018497
11727,1652,852189679701164033
0,10015,851953902622658560
0,23,851861385021730816
16601,3612,851591660324737024
24862,7381,851464819735769094
21217,5959,851224888060895234
31800,9677,850753642995093505
13411,2733,850380195714523136
3530,350,850333567704068097
16778,4001,850145622816686080
21021,5111,850019790995546112
31321,7949,849776966551130114
0,5179,849668094696017920
16333,3288,849412302885593088
11751,1977,849336543269576704
43725,8919,849051919805034497
25976,4530,848690551926992896
25517,4819,848324959059550208
8428,780,848213670039564288
16838,3215,848212111729840128
0,3421,847978865427394560
0,448,847971574464610304
24283,5352,847962785489326080
5645,1408,847842811428974592
7236,444,847617282490613760
19391,3569,847606175596138505
21124,4507,847251039262605312
20603,6160,847157206088847362
22120,3369,847116187444137987
20747,4124,846874817362120707
46163,12210,846514051647705089
14582,3243,846505985330044928
32787,9557,846153765933735936
31958,10420,846139713627017216
16554,3053,846042936437604353
30332,9208,845812042753855489
26012,5044,845677943972139009
7908,1905,845397057150107648
24161,5686,845306882940190720
0,8078,845098359547420673
14115,2722,844979544864018432
15663,3394,844973813909606400
40149,10924,844704788403113984
17098,3320,844580511645339650
14148,2326,844223788422217728
15706,3094,843981021012017153
